Hour of Day,Users,Sessions,Total Events
2016021717,106,99,6643
2016021718,66,62,3676
2016021719,54,47,2360
2016021720,26,24,1260
2016021721,56,55,2836
2016021722,43,40,2448
2016021723,52,49,2661
2016021800,29,29,1218
2016021801,24,22,1534
2016021802,12,11,1196
2016021803,15,13,549
2016021804,24,24,620
2016021805,32,30,1900
2016021806,65,61,2953
2016021807,156,153,8014
2016021808,328,309,22816
2016021809,367,347,22554
2016021810,302,272,18388
2016021811,265,257,15729
2016021812,233,213,13931
2016021813,175,163,10101
2016021814,160,150,10280
2016021815,150,141,9070
2016021816,128,114,5745
2016021817,117,108,7184
2016021818,80,76,4970
2016021819,45,43,2001
2016021820,26,22,715
2016021821,28,28,1012
2016021822,28,27,1045
2016021823,17,17,538
2016021900,7,9,801
2016021901,10,9,809
2016021902,7,6,315
2016021903,4,4,104
2016021904,4,4,68
2016021905,15,15,280
2016021906,34,32,921
2016021907,71,68,2531
2016021908,127,119,6522
2016021909,119,116,6407
2016021910,133,122,6800
2016021911,122,113,7318
2016021912,101,96,4936
2016021913,84,79,3405
2016021914,88,85,4473
2016021915,82,80,3549
2016021916,94,88,4850
2016021917,99,93,5204
2016021918,57,51,3575
2016021919,37,30,956
2016021920,24,22,736
2016021921,29,28,1051
2016021922,29,28,765
2016021923,19,18,1050
2016022000,4,4,44
2016022001,2,2,10
2016022002,7,7,183
2016022003,9,7,409
2016022004,4,2,158
2016022005,9,7,217
